lat,lng,elevation,wp,elevation_diff_m,dist_per_wp_m,distance_km,distance_m,elevation_diff_cum,slope,wh_per_km,wh_used,total_wh_used
78.49929,17.385656,486,106,0.2,33.3359375,3.2,3216.289062,-12.3,-0.003824283,118.9808786,3.966339132,382.6508196
78.498403,17.384976,485.9,107,-0.1,33.3359375,3.2,3249.625,-12.4,-0.003815825,118.9809209,3.966340542,386.6171602
78.498262,17.384862,485.7,108,-0.2,33.3359375,3.3,3282.960937,-12.6,-0.003837999,118.98081,3.966336846,390.583497
78.497996,17.384645,485.1,109,-0.6,33.3359375,3.3,3316.296875,-13.2,-0.003980343,118.9800983,3.96631312,394.5498101
78.497565,17.384295,485.1,110,0,33.3359375,3.3,3349.632812,-13.2,-0.00394073,118.9802963,3.966319723,398.5161299
78.497417,17.38417,485.5,111,0.4,33.3359375,3.4,3382.96875,-12.8,-0.003783659,118.9810817,3.966345903,402.4824758
78.497159,17.383953,486,112,0.5,33.3359375,3.4,3416.304687,-12.3,-0.003600381,118.9819981,3.966376452,406.4488522
78.496911,17.383771,486.5,113,0.5,33.3359375,3.4,3449.640625,-11.8,-0.003420646,118.9828968,3.96640641,410.4152586
78.496352,17.383353,488.1,114,1.6,33.3359375,3.5,3482.976562,-10.2,-0.00292853,118.9853574,3.966488436,414.3817471
78.495915,17.383087,487.9,115,-0.2,33.3359375,3.5,3516.3125,-10.4,-0.002957644,118.9852118,3.966483583,418.3482306
78.495765,17.38302,487.7,116,-0.2,33.3359375,3.5,3549.648437,-10.6,-0.002986211,118.9850689,3.966478822,422.3147095
78.495434,17.382874,487.7,117,0,33.3359375,3.6,3582.984375,-10.6,-0.002958428,118.9852079,3.966483453,426.2811929
78.494923,17.38266,488.3,118,0.6,33.3359375,3.6,3616.320312,-10,-0.002765242,118.9861738,3.966515653,430.2477086
78.494519,17.382502,488.9,119,0.6,33.3359375,3.6,3649.65625,-9.4,-0.002575585,118.9871221,3.966547265,434.2142558
78.494451,17.382475,489.1,120,0.2,33.3359375,3.7,3682.992187,-9.2,-0.002497969,118.9875102,3.966560202,438.180816
78.493994,17.382299,490.1,121,1,33.3359375,3.7,3716.328125,-8.2,-0.002206479,118.9889676,3.966608787,442.1474248
78.49363,17.382193,491,122,0.9,33.3359375,3.7,3749.664062,-7.3,-0.001946841,118.9902658,3.966652064,446.1140769
78.493346,17.382132,491.3,123,0.3,33.3359375,3.8,3783,-7,-0.001850383,118.9907481,3.966668141,450.080745
78.49313,17.381746,491.9,124,0.6,43.28636364,3.8,3826.286364,-6.4,-0.00167264,118.9916368,5.15071526,455.2314603
78.492943,17.381512,492.4,125,0.5,43.28636364,3.9,3869.572727,-5.9,-0.001524716,118.9923764,5.150747276,460.3822076
78.492805,17.381389,492.6,126,0.2,43.28636364,3.9,3912.859091,-5.7,-0.001456735,118.9927163,5.150761989,465.5329696
78.492504,17.381171,492.9,127,0.3,43.28636364,4,3956.145455,-5.4,-0.001364965,118.9931752,5.150781851,470.6837514
78.492342,17.381079,492.7,128,-0.2,43.28636364,4,3999.431818,-5.6,-0.001400199,118.992999,5.150774225,475.8345256
78.49214,17.380998,492.4,129,-0.3,43.28636364,4,4042.718182,-5.9,-0.001459414,118.9927029,5.150761409,480.985287
78.491935,17.380926,491.9,130,-0.5,43.28636364,4.1,4086.004545,-6.4,-0.001566322,118.9921684,5.150738271,486.1360253
78.491727,17.380863,491.3,131,-0.6,43.28636364,4.1,4129.290909,-7,-0.001695206,118.991524,5.150710376,491.2867357
78.491631,17.380838,491,132,-0.3,43.28636364,4.2,4172.577273,-7.3,-0.001749518,118.9912524,5.150698621,496.4374343
78.491444,17.380795,490.4,133,-0.6,43.28636364,4.2,4215.863636,-7.9,-0.001873875,118.9906306,5.150671707,501.588106
78.491255,17.380759,489.7,134,-0.7,43.28636364,4.3,4259.15,-8.6,-0.002019182,118.9899041,5.150640257,506.7387463
78.490993,17.380732,489,135,-0.7,43.28636364,4.3,4302.436364,-9.3,-0.002161566,118.9891922,5.150609441,511.8893557
78.49073,17.380716,488.4,136,-0.6,43.28636364,4.3,4345.722727,-9.9,-0.002278102,118.9886095,5.150584219,517.0399399
78.490467,17.380711,487.9,137,-0.5,43.28636364,4.4,4389.009091,-10.4,-0.002369555,118.9881522,5.150564426,522.1905044
78.489847,17.380705,487.3,138,-0.6,43.28636364,4.4,4432.295455,-11,-0.002481784,118.9875911,5.150540136,527.3410445
78.489504,17.380692,487.1,139,-0.2,43.28636364,4.5,4475.581818,-11.2,-0.002502468,118.9874877,5.150535659,532.4915802
78.488871,17.380613,487.2,140,0.1,43.28636364,4.5,4518.868182,-11.1,-0.002456367,118.9877182,5.150545637,537.6421258
78.488259,17.3806,487.6,141,0.4,43.28636364,4.6,4562.154545,-10.7,-0.002345383,118.9882731,5.150569657,542.7926955
78.487672,17.38062,488,142,0.4,43.28636364,4.6,4605.440909,-10.3,-0.002236485,118.9888176,5.150593226,547.9432887
78.48595,17.380643,488.9,143,0.9,43.28636364,4.6,4648.727273,-9.4,-0.002022059,118.9898897,5.150639635,553.0939283
78.485201,17.380755,489.3,144,0.4,43.28636364,4.7,4692.013636,-9,-0.001918153,118.9904092,5.150662123,558.2445904
78.484966,17.380797,489.4,145,0.1,43.28636364,4.7,4735.3,-8.9,-0.001879501,118.9906025,5.150670489,563.3952609
78.484927,17.380684,489.4,146,0,31.63076923,4.8,4766.930769,-8.9,-0.001867029,118.9906649,3.763766261,567.1590272
78.484785,17.380621,489.5,147,0.1,31.63076923,4.8,4798.561538,-8.8,-0.001833883,118.9908306,3.763771503,570.9227987
78.484383,17.380505,489.7,148,0.2,31.63076923,4.8,4830.192308,-8.6,-0.001780467,118.9910977,3.763779951,574.6865786
78.484166,17.380429,489.7,149,0,31.63076923,4.9,4861.823077,-8.6,-0.001768884,118.9911556,3.763781783,578.4503604
78.48382,17.380267,489.9,150,0.2,31.63076923,4.9,4893.453846,-8.4,-0.001716579,118.9914171,3.763790055,582.2141505
78.483388,17.380001,490.3,151,0.4,31.63076923,4.9,4925.084615,-8,-0.001624338,118.9918783,3.763804643,585.9779551
78.482997,17.37965,490.7,152,0.4,31.63076923,5,4956.715385,-7.6,-0.001533273,118.9923336,3.763819045,589.7417742
78.482899,17.379532,490.9,153,0.2,31.63076923,5,4988.346154,-7.4,-0.001483458,118.9925827,3.763826924,593.5056011
78.482831,17.379451,491,154,0.1,31.63076923,5,5019.976923,-7.3,-0.00145419,118.9927291,3.763831553,597.2694326
78.482527,17.378905,491.4,155,0.4,31.63076923,5.1,5051.607692,-6.9,-0.001365902,118.9931705,3.763845516,601.0332782
78.482423,17.378739,491.5,156,0.1,31.63076923,5.1,5083.238462,-6.8,-0.00133773,118.9933114,3.763849971,604.7971281
78.482302,17.378588,491.5,157,0,31.63076923,5.1,5114.869231,-6.8,-0.001329457,118.9933527,3.76385128,608.5609794
78.482206,17.378432,491.4,158,-0.1,31.63076923,5.1,5146.5,-6.9,-0.001340717,118.9932964,3.763849499,612.3248289
78.482161,17.37834,491.4,159,0,31.72592593,5.2,5178.225926,-6.9,-0.001332503,118.9933375,3.775173811,616.1000027
78.482061,17.378194,491.3,160,-0.1,31.72592593,5.2,5209.951852,-7,-0.001343582,118.9932821,3.775172053,619.8751748
78.481619,17.377453,490.4,161,-0.9,31.72592593,5.2,5241.677778,-7.9,-0.001507151,118.9924642,3.775146106,623.6503209
78.481292,17.376872,490.4,162,0,31.72592593,5.3,5273.403704,-7.9,-0.001498084,118.9925096,3.775147545,627.4254684
78.481236,17.376708,490.6,163,0.2,31.72592593,5.3,5305.12963,-7.7,-0.001451425,118.9927429,3.775154946,631.2006234
78.480859,17.376023,492.5,164,1.9,31.72592593,5.3,5336.855556,-5.8,-0.001086782,118.9945661,3.775212789,634.9758362
78.480607,17.375544,494,165,1.5,31.72592593,5.4,5368.581481,-4.3,-0.000800956,118.9959952,3.77525813,638.7510943
78.480491,17.375336,494.5,166,0.5,31.72592593,5.4,5400.307407,-3.8,-0.000703664,118.9964817,3.775273563,642.5263679
78.480452,17.375267,494.8,167,0.3,31.72592593,5.4,5432.033333,-3.5,-0.000644326,118.9967784,3.775282976,646.3016508
78.480419,17.37521,495,168,0.2,31.72592593,5.5,5463.759259,-3.3,-0.00060398,118.9969801,3.775289376,650.0769402
78.480396,17.375171,495.2,169,0.2,31.72592593,5.5,5495.485185,-3.1,-0.000564099,118.9971795,3.775295702,653.8522359
78.480347,17.375092,495.4,170,0.2,31.72592593,5.5,5527.211111,-2.9,-0.000524677,118.9973766,3.775301956,657.6275379
78.480273,17.374989,495.5,171,0.1,31.72592593,5.6,5558.937037,-2.8,-0.000503693,118.9974815,3.775305284,661.4028431
78.480127,17.374773,495.5,172,0,31.72592593,5.6,5590.662963,-2.8,-0.000500835,118.9974958,3.775305738,665.1781489
78.479926,17.374439,495.2,173,-0.3,31.72592593,5.6,5622.388889,-3.1,-0.000551367,118.9972432,3.775297722,668.9534466
78.479838,17.374343,495,174,-0.2,31.72592593,5.7,5654.114815,-3.3,-0.000583646,118.9970818,3.775292602,672.7287392
78.479575,17.374083,494.5,175,-0.5,31.72592593,5.7,5685.840741,-3.8,-0.000668327,118.9966584,3.775279169,676.5040184
78.47921,17.373788,494.1,176,-0.4,31.72592593,5.7,5717.566667,-4.2,-0.000734578,118.9963271,3.775268659,680.279287
78.47898,17.373623,494,177,-0.1,31.72592593,5.7,5749.292593,-4.3,-0.000747918,118.9962604,3.775266543,684.0545536
78.478843,17.373568,493.9,178,-0.1,31.72592593,5.8,5781.018519,-4.4,-0.000761112,118.9961944,3.77526445,687.829818
78.478675,17.373547,493.9,179,0,31.72592593,5.8,5812.744444,-4.4,-0.000756957,118.9962152,3.775265109,691.6050831
78.478359,17.373573,494.2,180,0.3,31.72592593,5.8,5844.47037,-4.1,-0.000701518,118.9964924,3.775273904,695.380357
78.478268,17.373593,494.4,181,0.2,31.72592593,5.9,5876.196296,-3.9,-0.000663695,118.9966815,3.775279904,699.1556369
78.477899,17.373673,495,182,0.6,31.72592593,5.9,5907.922222,-3.3,-0.000558572,118.9972071,3.775296579,702.9309335
78.47765,17.373716,495.2,183,0.2,31.72592593,5.9,5939.648148,-3.1,-0.000521916,118.9973904,3.775302394,706.7062359
78.477498,17.373702,495.3,184,0.1,31.72592593,6,5971.374074,-3,-0.000502397,118.997488,3.77530549,710.4815414
78.477007,17.37357,495.7,185,0.4,31.72592593,6,6003.1,-2.6,-0.00043311,118.9978345,3.775316481,714.2568579
78.476828,17.37341,495.9,186,0.2,25.925,6,6029.025,-2.4,-0.000398074,118.9980096,3.0850234,717.3418813
78.476642,17.373256,496.2,187,0.3,25.925,6.1,6054.95,-2.1,-0.000346824,118.9982659,3.085030043,720.4269113
78.47645,17.37311,496.6,188,0.4,25.925,6.1,6080.875,-1.7,-0.000279565,118.9986022,3.085038761,723.5119501
78.476301,17.37293,497,189,0.4,25.925,6.1,6106.8,-1.3,-0.000212877,118.9989356,3.085047406,726.5969975
78.476269,17.372892,497,190,0,23.94761905,6.1,6130.747619,-1.3,-0.000212046,118.9989398,2.849741277,729.4467388
78.476205,17.372783,497,191,0,23.94761905,6.2,6154.695238,-1.3,-0.000211221,118.9989439,2.849741375,732.2964802
78.476173,17.372669,496.9,192,-0.1,23.94761905,6.2,6178.642857,-1.4,-0.000226587,118.9988671,2.849739536,735.1462197
78.476169,17.372563,496.7,193,-0.2,23.94761905,6.2,6202.590476,-1.6,-0.000257957,118.9987102,2.849735779,737.9959555
78.476165,17.372487,496.5,194,-0.2,23.94761905,6.2,6226.538095,-1.8,-0.000289085,118.9985546,2.849732052,740.8456875
78.476472,17.37175,494.9,195,-1.6,23.94761905,6.3,6250.485714,-3.4,-0.000543958,118.9972802,2.849701534,743.6953891
78.47693,17.370707,492,196,-2.9,23.94761905,6.3,6274.433333,-6.3,-0.001004075,118.9949796,2.849646441,746.5450355
78.476958,17.370643,492.3,197,0.3,23.94761905,6.3,6298.380952,-6,-0.000952626,118.9952369,2.849652601,749.3946881
78.476965,17.370621,492.7,198,0.4,23.94761905,6.3,6322.328571,-5.6,-0.00088575,118.9955713,2.849660609,752.2443487
78.47702,17.370479,493.1,199,0.4,23.94761905,6.3,6346.27619,-5.2,-0.000819378,118.9959031,2.849668556,755.0940173
78.477046,17.370414,493.5,200,0.4,23.94761905,6.4,6370.22381,-4.8,-0.000753506,118.9962325,2.849676443,757.9436937
78.477071,17.370309,493.9,201,0.4,23.94761905,6.4,6394.171429,-4.4,-0.000688127,118.9965594,2.849684272,760.793378
78.477078,17.37022,494.3,202,0.4,23.94761905,6.4,6418.119048,-4,-0.000623236,118.9968838,2.849692042,763.64307
78.477064,17.370126,494.7,203,0.4,23.94761905,6.4,6442.066667,-3.6,-0.000558827,118.9972059,2.849699754,766.4927698
